,City,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed,Country,Date,City ID
0,saskylakh,81.72650554011946,119.13642523900427,47.52,88,96,5.23,RU,1562507721,2017155.0
1,avarua,-52.97338805355926,-167.31842865654096,71.6,64,87,10.29,CK,1562507721,4035715.0
2,kapaa,33.87958329075384,-166.30088623347862,77.9,78,75,12.75,US,1562507460,5848280.0
3,albany,-76.17964422495177,116.03619958844808,70.09,60,1,6.93,US,1562507671,5106834.0
4,bud,74.61110383954232,1.5337519764744627,56.53,71,75,10.29,NO,1562507721,7626370.0
5,haines junction,61.34734242957384,-142.60321491893689,61.56,57,13,3.15,CA,1562507722,5969025.0
6,rundu,-18.34671850516385,19.02367462726062,80.6,6,0,6.93,NA,1562507722,3353383.0
7,rungata,-0.6011164266306963,178.84071249033377,,,,,,,
8,bilma,21.649995510460727,12.108744761990238,104.58,8,0,2.48,NE,1562507722,2446796.0
9,tabou,-1.0453817528862714,-6.09040755057589,81.0,69,70,9.37,CI,1562507722,2281120.0
10,gizo,-9.53056846470507,155.42037791620606,83.97,62,40,11.41,IL,1562507723,6693679.0
11,henties bay,-22.027679054649013,6.839021891654085,55.0,89,0,4,NA,1562507723,3356832.0
12,mount isa,-21.58579442716625,136.40882246567816,68.0,68,90,10.29,AU,1562507723,2065594.0
13,rikitea,-75.11265540814085,-122.1797383848259,70.74,81,100,35.05,PF,1562507723,4030556.0
14,eureka,41.043875334283626,-136.35149236009647,55.26,93,90,6.93,US,1562507664,5563397.0
15,punta arenas,-73.01804582816439,-112.86231565075008,37.2,93,90,4.7,CL,1562507724,3874787.0
16,mys shmidta,84.43761207742588,-176.46792240072355,,,,,,,
17,hilo,26.662703138230455,-146.8376315695724,67.66,83,90,6.93,US,1562507724,5855927.0
18,quiruvilca,-8.037387612904865,-77.97336068600018,55.4,82,90,2.24,PE,1562507724,3698705.0
19,shebunino,45.99670432538437,141.93997794055275,59.0,67,40,8.95,RU,1562507724,468902.0
20,khatanga,87.62778242845516,104.68431666385084,50.22,70,100,17.36,RU,1562507725,2022572.0
21,cherskiy,68.22254485537957,160.6029712823523,62.64,51,83,12.12,RU,1562507725,2126199.0
22,san lawrenz,35.838400579148896,13.074464845690102,89.74,36,0,13.87,MT,1562507725,2562619.0
23,batticaloa,10.810138778934999,86.6744926951742,81.36,72,76,3.78,LK,1562507725,1250161.0
24,port hedland,-21.314638523986645,121.79542688918798,66.2,68,0,1.12,AU,1562507725,2063042.0
25,warqla,28.540760947399974,5.489073084614631,,,,,,,
26,attawapiskat,63.44170130256444,-81.0517942191813,,,,,,,
27,weyburn,49.80674925832912,-103.38965308575246,68.0,80,92,11.01,CA,1562507726,6179652.0
28,jamestown,-23.453148194397983,-19.416784512834568,45.72,85,0,1.45,AU,1562507726,2069194.0
29,opuwo,-18.8762055191567,12.665248098804511,84.24,6,0,12.3,NA,1562507726,3354077.0
30,tasiilaq,54.495020833253704,-34.77728033743304,44.6,75,88,4.7,GL,1562507726,3424607.0
31,tsihombe,-49.62712771720529,49.805204357716065,,,,,,,
32,maceio,-12.955925631970118,-31.8941044399148,82.4,58,40,10.29,BR,1562507727,3395981.0
33,nouakchott,18.978910751088137,-14.70883769189723,80.6,69,0,9.17,MR,1562507727,2377450.0
34,skelleftea,64.27983975846033,21.828490308988734,64.38,63,75,9.17,SE,1562507727,602913.0
35,cape town,-42.00539474797551,3.8133283150460784,63.1,67,40,14.99,ZA,1562507660,3369157.0
36,itaituba,-5.387955828283779,-55.38860267451365,75.2,100,90,2.17,BR,1562507728,3397967.0
